OrderID,OrderDate,ShipDate,CustomerID,Segment,Country,City,State,ProductCategory,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,PaymentMethod
100044,2022-09-12,2022-09-12,2791,Undefined,USA,New York,NY,Office Supplies,Binders,Binder Set,1963,10,0,-500,5,Bank Transfer
100046,2023-07-25,2023-07-25,2643,Corporate,Canada,Toronto,ON,Home Decor,Lamps,Desk Lamp,2727,16,10,100,500,Cash
100050,2022-02-23,2022-04-16,2261,Small Business,France,Paris,Undefined,Furniture,Tables,Gaming Table,1575,5,0,-100,500,Undefined
100052,2023-09-12,2023-09-12,2562,Corporate,USA,New York,NY,Office Supplies,Binders,Binder Set,3059,6,10,1000,0,Credit Card
100053,2023-05-04,2023-05-04,2226,Home Office,Germany,Berlin,Undefined,Electronics,Phones,iPhone 14,1999,3,5,0,10,Undefined
100055,2023-12-17,2023-12-24,2107,Small Business,Spain,Unknown,Undefined,Furniture,Tables,Unknown,1135,14,0,1000,10,Credit Card
100056,2022-02-07,2023-11-19,2396,Home Office,Germany,Unknown,Undefined,Home Decor,Lamps,Desk Lamp,2514,19,10,0,100,Undefined
100057,2023-01-27,2023-01-27,2825,Consumer,USA,New York,NY,Home Decor,Lamps,Desk Lamp,624,10,0,0,100,Cash
100058,2022-11-25,2022-11-25,2334,Consumer,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,769,18,0,0,100,Undefined
100059,2022-09-01,2022-11-03,2862,Home Office,USA,New York,NY,Furniture,Tables,Gaming Table,4423,1,0,0,10,Undefined
100060,2022-08-17,2023-06-18,2219,Corporate,France,Paris,Undefined,Electronics,Phones,iPhone 14,525,13,5,0,5,Undefined
100061,2023-02-28,2023-02-28,2411,Undefined,USA,New York,NY,Electronics,Phones,iPhone 14,2505,3,10,-100,500,PayPal
100064,2023-06-03,2023-10-27,2866,Corporate,Spain,Madrid,Undefined,Electronics,Phones,iPhone 14,3215,3,25,-500,0,Undefined
100065,2022-07-16,2022-07-16,2260,Home Office,Spain,Madrid,Undefined,Office Supplies,Binders,Binder Set,2125,13,10,0,100,Undefined
100068,2023-05-27,2023-10-16,2282,Small Business,France,Paris,Undefined,Office Supplies,Binders,Binder Set,1020,4,5,100,10,Bank Transfer
100070,2023-04-09,2023-04-09,2943,Undefined,Canada,Unknown,BC,Office Supplies,Binders,Binder Set,1873,20,10,100,500,Bank Transfer
100071,2022-10-14,2022-10-14,2531,Consumer,France,Paris,Undefined,Office Supplies,Binders,Unknown,4026,17,0,0,500,Credit Card
100072,2023-10-26,2023-10-26,2730,Home Office,Spain,Madrid,Undefined,Office Supplies,Binders,Binder Set,4951,1,25,0,10,PayPal
100073,2023-07-12,2023-10-20,2863,Consumer,France,Paris,Undefined,Office Supplies,Binders,Binder Set,3079,9,25,1000,0,Credit Card
100074,2022-08-07,2023-05-11,2996,Undefined,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,3160,8,50,-100,10,PayPal
100076,2022-02-20,2022-09-28,2674,Undefined,Spain,Madrid,Undefined,Furniture,Chairs,Office Chair,2754,1,50,-500,500,Bank Transfer
100077,2023-06-12,2023-06-12,2141,Undefined,Canada,Toronto,ON,Home Decor,Lamps,Desk Lamp,3398,4,0,0,10,Cash
100081,2022-11-18,2023-01-07,2279,Home Office,USA,New York,NY,Furniture,Tables,Gaming Table,3859,14,5,0,10,Crypto
100082,2022-06-27,2022-06-27,2453,Corporate,Canada,Unknown,BC,Electronics,Phones,Unknown,2491,8,0,500,0,Undefined
100084,2022-11-28,2022-11-28,2382,Undefined,Canada,Toronto,ON,Furniture,Tables,Gaming Table,4037,6,0,-500,5,PayPal
100085,2023-05-10,2023-05-10,2025,Home Office,France,Paris,Undefined,Office Supplies,Binders,Binder Set,1058,2,0,0,100,Credit Card
100086,2023-12-30,2023-12-30,2969,Small Business,Spain,Madrid,Undefined,Electronics,Phones,iPhone 14,3690,13,50,100,100,Undefined
100087,2022-10-29,2023-06-12,2945,Undefined,USA,Unknown,CA,Office Supplies,Binders,Binder Set,61,18,25,0,10,Crypto
100090,2022-09-14,2022-09-14,2383,Consumer,Spain,Madrid,Undefined,Office Supplies,Binders,Binder Set,4179,0,5,-100,10,Cash
100091,2023-05-14,2023-08-12,2784,Home Office,Canada,Toronto,ON,Office Supplies,Binders,Binder Set,-42,-1,50,0,100,Credit Card
100092,2022-06-29,2023-10-09,2380,Undefined,Spain,Madrid,Undefined,Home Decor,Unknown,Unknown,4195,9,10,500,0,Credit Card
100093,2022-11-04,2022-11-04,2222,Consumer,USA,New York,NY,Office Supplies,Binders,Binder Set,3671,17,25,1000,500,Crypto
100094,2022-04-01,2022-09-19,2129,Consumer,Unknown,Unknown,Undefined,Office Supplies,Binders,Binder Set,1034,15,10,0,10,Undefined
100095,2022-01-12,2022-04-01,2455,Small Business,Germany,Unknown,Undefined,Office Supplies,Binders,Binder Set,3413,19,0,-100,0,Undefined
100096,2023-10-22,2023-10-22,2361,Consumer,Unknown,Unknown,Undefined,Electronics,Phones,iPhone 14,252,18,10,-100,10,Undefined
100097,2023-09-26,2023-09-26,2151,Home Office,Canada,Toronto,ON,Electronics,Phones,iPhone 14,-82,-1,10,0,0,Undefined
100099,2023-06-03,2023-06-03,2105,Undefined,Spain,Madrid,Undefined,Electronics,Phones,Unknown,1961,3,10,1000,5,Credit Card
100102,2022-12-05,2023-12-25,2364,Corporate,Canada,Toronto,ON,Electronics,Phones,iPhone 14,2987,17,0,100,100,Undefined
100103,2023-02-23,2023-02-23,2706,Corporate,Canada,Unknown,BC,Furniture,Tables,Gaming Table,2431,17,25,-100,5,Credit Card
100104,2023-03-25,2023-03-25,2659,Undefined,USA,New York,NY,Furniture,Tables,Gaming Table,889,7,10,0,0,PayPal
100105,2023-10-19,2023-10-19,2742,Consumer,France,Paris,Undefined,Home Decor,Lamps,Unknown,913,10,5,-100,5,PayPal
100106,2022-03-31,2022-11-12,2417,Home Office,Canada,Unknown,ON,Furniture,Tables,Gaming Table,1849,3,25,0,5,Credit Card
100107,2023-02-08,2023-02-08,2388,Corporate,USA,Unknown,FL,Furniture,Chairs,Office Chair,4629,11,5,100,5,Undefined
100109,2023-02-17,2023-02-17,2461,Corporate,Germany,Berlin,Undefined,Home Decor,Lamps,Desk Lamp,2490,14,10,500,0,PayPal
100110,2023-04-26,2023-12-06,2789,Consumer,Spain,Madrid,Undefined,Office Supplies,Binders,Binder Set,3879,15,0,1000,0,Undefined
100111,2023-01-27,2023-03-20,2977,Undefined,France,Paris,Undefined,Home Decor,Lamps,Desk Lamp,3899,12,50,500,0,Undefined
100112,2022-02-01,2022-11-26,2261,Undefined,USA,Unknown,CA,Office Supplies,Binders,Binder Set,4752,19,10,0,0,Undefined
100115,2023-08-01,2023-08-01,2092,Undefined,France,Unknown,Undefined,Office Supplies,Binders,Binder Set,4080,1,10,-100,0,Undefined
100116,2023-07-11,2023-07-11,2078,Undefined,France,Paris,Undefined,Furniture,Tables,Gaming Table,2273,14,25,0,0,Undefined
100117,2022-12-06,2022-12-06,2872,Consumer,USA,New York,NY,Furniture,Tables,Gaming Table,2362,6,5,0,5,Credit Card
100119,2023-04-16,2023-04-16,2384,Undefined,Canada,Unknown,ON,Furniture,Chairs,Office Chair,2169,9,25,-100,0,Crypto
100121,2023-12-04,2023-12-04,2415,Corporate,France,Paris,Undefined,Home Decor,Lamps,Unknown,388,11,10,-500,100,Undefined
100122,2023-02-27,2023-02-27,2494,Corporate,Germany,Berlin,Undefined,Electronics,Phones,iPhone 14,394,10,5,0,0,Undefined
100123,2022-08-19,2022-08-19,2469,Small Business,Canada,Toronto,ON,Furniture,Tables,Unknown,4111,6,0,1000,500,Bank Transfer
100124,2022-11-12,2023-06-09,2992,Undefined,USA,New York,NY,Electronics,Phones,iPhone 14,678,4,10,100,0,Credit Card
100125,2022-05-09,2023-08-16,2794,Home Office,Germany,Berlin,Undefined,Home Decor,Lamps,Desk Lamp,3059,16,0,0,5,Undefined
100126,2023-03-12,2023-03-12,2022,Home Office,Spain,Madrid,Undefined,Home Decor,Lamps,Desk Lamp,3131,7,10,0,100,Crypto
100127,2023-05-21,2023-05-21,2077,Home Office,USA,Unknown,NY,Furniture,Chairs,Unknown,3561,16,10,0,0,Crypto
100129,2023-10-30,2023-10-30,2929,Home Office,Germany,Berlin,Undefined,Electronics,Phones,iPhone 14,2489,9,50,500,5,Crypto
100130,2022-10-23,2023-06-27,2030,Undefined,USA,Unknown,CA,Electronics,Phones,iPhone 14,1412,4,10,0,10,Credit Card
100131,2023-03-22,2023-08-22,2340,Undefined,Canada,Unknown,ON,Home Decor,Lamps,Desk Lamp,4045,11,50,-100,100,PayPal
100134,2022-05-16,2022-07-26,2234,Consumer,Unknown,Unknown,Undefined,Home Decor,Lamps,Desk Lamp,890,19,0,500,0,Crypto
100135,2022-06-17,2023-08-21,2477,Consumer,USA,Unknown,NY,Furniture,Chairs,Office Chair,4097,0,25,1000,500,PayPal
100136,2022-06-09,2022-06-09,2898,Home Office,Spain,Madrid,Undefined,Electronics,Phones,iPhone 14,746,13,10,1000,10,Credit Card
100138,2023-09-24,2023-10-31,2867,Undefined,Canada,Unknown,BC,Furniture,Tables,Gaming Table,2608,16,5,-100,500,Credit Card
100139,2022-05-02,2023-03-30,2870,Corporate,Germany,Berlin,Undefined,Office Supplies,Binders,Binder Set,3895,9,50,500,5,Crypto
100140,2022-05-07,2022-12-06,2406,Undefined,Canada,Toronto,ON,Electronics,Phones,Unknown,1207,5,10,-500,100,Cash
100141,2023-01-17,2023-01-17,2916,Small Business,Canada,Unknown,BC,Furniture,Chairs,Office Chair,1206,4,25,0,500,Undefined
100143,2022-12-19,2022-12-19,2340,Undefined,Canada,Toronto,ON,Furniture,Chairs,Office Chair,3378,4,0,-100,0,Undefined
100145,2022-01-21,2022-12-11,2331,Home Office,USA,New York,NY,Furniture,Tables,Gaming Table,155,18,0,-100,500,Cash
100146,2022-09-08,2022-09-08,2711,Undefined,Canada,Unknown,Undefined,Electronics,Phones,iPhone 14,4557,0,10,-500,5,PayPal
100147,2023-06-05,2023-06-05,2987,Consumer,Canada,Toronto,ON,Home Decor,Lamps,Desk Lamp,2617,10,10,500,10,Crypto
100148,2023-12-19,2023-12-19,2059,Consumer,Unknown,Unknown,Undefined,Office Supplies,Binders,Binder Set,2142,16,0,0,500,Crypto
100151,2022-07-11,2023-09-16,2482,Small Business,Canada,Toronto,ON,Electronics,Phones,iPhone 14,3775,16,10,100,500,Credit Card
100152,2022-12-01,2023-09-20,2187,Corporate,France,Paris,Undefined,Electronics,Phones,iPhone 14,3187,1,10,500,500,Crypto
100153,2023-12-02,2023-12-02,2120,Home Office,France,Paris,Undefined,Electronics,Phones,iPhone 14,4939,16,10,0,0,Bank Transfer
100154,2022-09-08,2022-09-08,2112,Corporate,Spain,Madrid,Undefined,Furniture,Chairs,Office Chair,3837,1,50,0,100,Undefined
100155,2023-05-02,2023-05-02,2602,Undefined,France,Paris,Undefined,Office Supplies,Binders,Unknown,1564,10,0,-100,0,Cash
100157,2023-09-08,2023-09-08,2964,Home Office,Canada,Toronto,ON,Furniture,Tables,Gaming Table,4864,9,0,0,100,PayPal
100158,2022-03-27,2023-04-11,2723,Undefined,USA,New York,NY,Office Supplies,Binders,Binder Set,587,2,25,1000,0,PayPal
100159,2022-06-11,2023-12-22,2498,Small Business,France,Paris,Undefined,Furniture,Chairs,Office Chair,3671,10,50,-500,0,PayPal
100160,2023-05-15,2023-07-24,2062,Undefined,Germany,Berlin,Undefined,Electronics,Phones,Unknown,1797,17,10,0,0,Cash
100161,2022-11-22,2022-11-22,2453,Small Business,Germany,Berlin,Undefined,Furniture,Tables,Gaming Table,3037,15,10,-100,10,Credit Card
100162,2022-02-10,2023-03-10,2197,Corporate,France,Paris,Undefined,Furniture,Chairs,Unknown,249,15,0,-500,0,Undefined
100163,2023-05-26,2023-12-11,2353,Undefined,Spain,Madrid,Undefined,Office Supplies,Binders,Binder Set,1636,3,0,1000,10,Undefined
100164,2023-10-11,2023-10-11,2248,Undefined,USA,Unknown,NY,Electronics,Phones,iPhone 14,2215,16,0,0,10,Crypto
100165,2022-11-06,2023-09-18,2420,Home Office,Canada,Toronto,ON,Furniture,Tables,Gaming Table,213,1,5,500,10,Bank Transfer
100167,2023-10-06,2023-10-06,2077,Undefined,USA,New York,NY,Office Supplies,Binders,Binder Set,3838,15,10,-100,100,Credit Card
100168,2022-06-29,2023-09-18,2169,Consumer,France,Paris,Undefined,Office Supplies,Binders,Unknown,3663,8,25,-100,0,Credit Card
100169,2022-03-12,2023-05-09,2866,Home Office,France,Paris,Undefined,Home Decor,Lamps,Desk Lamp,3373,4,10,100,10,PayPal
100171,2022-12-17,2023-12-04,2304,Small Business,Canada,Toronto,ON,Office Supplies,Binders,Binder Set,4546,8,10,-500,0,PayPal
100172,2023-12-03,2023-12-03,2720,Home Office,France,Paris,Undefined,Office Supplies,Binders,Binder Set,2992,3,0,0,5,Undefined
100173,2022-09-21,2023-12-28,2498,Undefined,Germany,Berlin,Undefined,Home Decor,Lamps,Desk Lamp,1778,8,25,0,0,Undefined
100174,2023-07-24,2023-07-24,2314,Undefined,France,Paris,Undefined,Electronics,Phones,iPhone 14,2148,6,50,-100,0,PayPal
100176,2023-10-21,2023-10-21,2895,Home Office,France,Paris,Undefined,Furniture,Tables,Gaming Table,478,15,50,-100,100,Undefined
100177,2022-05-22,2023-03-30,2542,Corporate,Canada,Toronto,ON,Furniture,Tables,Gaming Table,2009,11,10,1000,100,Bank Transfer
100178,2023-04-22,2023-04-22,2728,Undefined,Canada,Unknown,ON,Electronics,Phones,iPhone 14,3287,19,0,0,0,Undefined
100181,2023-06-28,2023-06-28,2744,Corporate,France,Unknown,Undefined,Furniture,Tables,Gaming Table,1591,3,0,-500,100,Cash
100182,2022-11-20,2022-11-20,2859,Corporate,France,Paris,Undefined,Furniture,Chairs,Office Chair,3256,5,25,500,500,Bank Transfer
100183,2022-12-05,2023-05-11,2880,Undefined,Spain,Madrid,Undefined,Furniture,Tables,Gaming Table,3618,2,10,0,10,Undefined
100184,2023-05-23,2023-05-23,2233,Home Office,Canada,Toronto,ON,Electronics,Phones,iPhone 14,439,12,0,0,0,Cash
100185,2022-01-15,2022-12-31,2455,Undefined,USA,Unknown,NY,Home Decor,Lamps,Unknown,3369,6,5,1000,500,PayPal
100186,2023-09-20,2023-11-13,2056,Undefined,USA,Unknown,TX,Office Supplies,Binders,Binder Set,1628,16,0,-500,10,Undefined
100187,2022-01-19,2022-02-07,2808,Corporate,Spain,Madrid,Undefined,Home Decor,Lamps,Desk Lamp,2186,20,0,-100,0,Undefined
100188,2023-05-30,2023-05-30,2319,Corporate,Germany,Berlin,Undefined,Home Decor,Lamps,Desk Lamp,3615,0,25,500,500,Credit Card
100189,2022-11-24,2022-11-24,2912,Undefined,Unknown,Unknown,Undefined,Home Decor,Lamps,Desk Lamp,197,11,5,-500,0,Undefined
100190,2022-05-23,2023-09-02,2223,Corporate,Spain,Madrid,Undefined,Furniture,Chairs,Office Chair,3067,0,10,1000,500,Credit Card
100192,2023-01-24,2023-09-06,2186,Undefined,Canada,Unknown,BC,Home Decor,Lamps,Desk Lamp,4575,4,10,-100,0,PayPal
100193,,2023-02-14,2165,Undefined,USA,Unknown,CA,Home Decor,Lamps,Desk Lamp,2859,10,10,-500,500,Cash
100194,2022-05-26,2022-09-22,2441,Undefined,Canada,Toronto,ON,Furniture,Tables,Gaming Table,3923,13,0,-500,10,Undefined
100195,2023-08-24,2023-08-24,2486,Home Office,Spain,Madrid,Undefined,Home Decor,Lamps,Unknown,3642,10,50,-100,500,Bank Transfer
100196,2023-04-05,2023-10-30,2489,Small Business,Canada,Toronto,ON,Electronics,Phones,iPhone 14,4128,3,25,-500,10,PayPal
100198,2022-09-08,2022-09-08,2512,Corporate,Canada,Toronto,ON,Furniture,Tables,Gaming Table,1522,0,25,0,100,Undefined
100200,2022-10-02,2023-01-05,2882,Consumer,USA,New York,NY,Furniture,Tables,Gaming Table,2698,14,10,0,0,Credit Card
100201,2023-05-25,2023-05-25,2444,Undefined,France,Paris,Undefined,Furniture,Chairs,Office Chair,706,1,50,-100,0,Undefined
100202,2023-09-17,2023-09-17,2898,Corporate,Canada,Toronto,ON,Home Decor,Lamps,Desk Lamp,4875,16,50,0,0,Credit Card
100203,2022-07-08,2023-10-23,2240,Undefined,Canada,Toronto,ON,Home Decor,Lamps,Desk Lamp,947,20,10,500,500,Crypto
100204,2023-03-07,2023-03-07,2920,Consumer,Germany,Berlin,Undefined,Electronics,Phones,iPhone 14,2811,8,10,-100,100,Credit Card
100205,2023-09-17,2023-09-17,2165,Home Office,USA,Unknown,TX,Furniture,Chairs,Office Chair,1169,6,10,1000,0,Bank Transfer
100206,2023-02-27,2023-09-14,2900,Corporate,USA,New York,NY,Electronics,Phones,iPhone 14,449,2,50,-500,500,Credit Card
100207,2023-07-05,2023-09-07,2597,Consumer,Spain,Madrid,Undefined,Books,Unknown,Unknown,3359,1,10,100,500,Cash
100208,2023-11-27,2023-11-27,2107,Home Office,USA,New York,NY,Home Decor,Unknown,Unknown,4303,1,0,500,5,Crypto
100209,2022-07-14,2023-04-11,2554,Corporate,Spain,Madrid,Undefined,Furniture,Tables,Gaming Table,3980,6,10,100,500,Credit Card
100211,2023-10-12,2023-10-12,2510,Consumer,Canada,Toronto,ON,Furniture,Chairs,Office Chair,4866,0,10,-500,0,Undefined
100212,2023-03-06,2023-03-06,2720,Small Business,Canada,Toronto,ON,Electronics,Phones,iPhone 14,4785,13,25,500,100,Undefined
100213,2023-12-14,2023-12-14,2865,Consumer,France,Unknown,Undefined,Furniture,Chairs,Unknown,2636,16,0,100,5,Credit Card
100214,2022-12-25,2023-02-15,2150,Undefined,Canada,Unknown,BC,Office Supplies,Binders,Binder Set,1346,16,25,500,500,PayPal
100215,2022-08-23,2023-09-19,2055,Consumer,Canada,Unknown,ON,Home Decor,Lamps,Desk Lamp,4139,13,10,1000,10,Undefined
100217,2022-05-13,2022-08-29,2208,Small Business,USA,New York,NY,Furniture,Tables,Gaming Table,1466,0,5,-100,0,Bank Transfer
100218,2023-07-08,2023-07-08,2835,Corporate,France,Paris,Undefined,Home Decor,Lamps,Desk Lamp,1304,10,0,100,100,PayPal
100219,2022-09-04,2022-09-04,2535,Undefined,USA,New York,NY,Electronics,Phones,iPhone 14,549,8,10,0,5,Undefined
100221,2023-02-15,2023-02-15,2945,Undefined,USA,New York,NY,Office Supplies,Binders,Binder Set,114,15,25,0,0,Credit Card
100222,2023-08-26,2023-08-26,2694,Corporate,USA,Unknown,FL,Electronics,Phones,iPhone 14,438,2,25,100,0,Undefined
100223,2022-04-24,2022-04-24,2871,Consumer,Germany,Berlin,Undefined,Office Supplies,Binders,Binder Set,3254,19,10,100,0,Undefined
100225,2023-10-28,2023-10-28,2573,Small Business,Canada,Unknown,BC,Electronics,Phones,iPhone 14,3438,4,0,-100,5,Cash
100228,2022-08-17,2022-08-17,2101,Corporate,Canada,Toronto,ON,Electronics,Phones,iPhone 14,935,2,0,1000,0,Undefined
100229,2022-07-06,2023-06-05,2433,Small Business,Canada,Toronto,ON,Furniture,Chairs,Office Chair,3446,16,25,500,5,PayPal
100230,2023-11-08,2023-11-08,2875,Consumer,Canada,Toronto,ON,Electronics,Unknown,Unknown,2586,12,25,-500,0,PayPal
100232,2022-02-22,2022-02-22,2422,Home Office,Germany,Berlin,Undefined,Electronics,Phones,Unknown,741,8,10,500,0,Credit Card
100233,2023-09-10,2023-09-10,2132,Small Business,France,Paris,Undefined,Furniture,Tables,Gaming Table,1781,16,10,-100,10,Undefined
100234,2022-08-23,2022-08-23,2043,Undefined,Germany,Berlin,Undefined,Office Supplies,Binders,Binder Set,2571,10,0,0,10,Bank Transfer
100235,2022-08-03,2022-08-03,2031,Undefined,USA,Unknown,TX,Office Supplies,Binders,Binder Set,2034,9,25,500,500,Undefined
100238,2023-09-07,2023-09-07,2347,Undefined,USA,New York,NY,Furniture,Chairs,Office Chair,2216,1,25,0,0,Bank Transfer
100239,2023-01-06,2023-01-06,2112,Consumer,Canada,Toronto,ON,Electronics,Phones,iPhone 14,1452,6,10,0,500,Cash
100240,2023-04-12,2023-04-12,2323,Consumer,USA,New York,NY,Furniture,Tables,Gaming Table,2578,7,0,-100,0,Cash
100241,2022-04-29,2022-05-04,2314,Consumer,France,Paris,Undefined,Office Supplies,Binders,Unknown,4336,15,5,-500,0,Cash
100242,2022-09-09,2023-07-30,2326,Consumer,USA,Unknown,CA,Books,Unknown,Unknown,632,9,10,100,500,Undefined
100243,2023-09-27,2023-09-27,2126,Small Business,Canada,Toronto,ON,Office Supplies,Binders,Binder Set,1638,9,50,-100,500,Cash
100244,2022-06-20,2023-02-28,2963,Home Office,France,Paris,Undefined,Office Supplies,Binders,Binder Set,4744,12,10,500,0,Credit Card
100246,2023-04-18,2023-04-18,2229,Home Office,USA,Unknown,TX,Furniture,Tables,Gaming Table,3496,0,10,500,100,Bank Transfer
100247,2022-01-03,2023-07-10,2644,Small Business,Canada,Unknown,ON,Furniture,Tables,Gaming Table,2284,7,25,0,0,PayPal
100248,2023-09-03,2023-09-03,2950,Small Business,France,Paris,Undefined,Furniture,Tables,Gaming Table,4084,19,25,1000,0,Undefined
100249,2023-02-10,2023-02-13,2104,Corporate,USA,Unknown,CA,Office Supplies,Binders,Binder Set,2820,11,50,0,5,Undefined
100251,2022-05-16,2022-08-23,2461,Home Office,USA,Unknown,TX,Furniture,Chairs,Office Chair,943,5,50,0,10,Credit Card
100252,2023-09-06,2023-12-13,2692,Undefined,France,Paris,Undefined,Furniture,Chairs,Office Chair,314,2,0,-500,500,Cash
100253,2022-03-29,2022-12-09,2008,Home Office,Spain,Madrid,Undefined,Furniture,Tables,Gaming Table,3999,12,5,1000,0,Crypto
100254,2022-07-30,2023-06-22,2282,Consumer,Canada,Unknown,ON,Furniture,Tables,Gaming Table,2395,6,5,500,5,Credit Card
100255,2022-02-27,2023-08-31,2680,Undefined,France,Paris,Undefined,Home Decor,Lamps,Desk Lamp,3521,13,25,-100,0,Undefined
100257,2022-10-08,2022-10-08,2852,Small Business,Germany,Berlin,Undefined,Home Decor,Unknown,Unknown,3462,7,50,0,100,Cash
100259,2022-07-02,2023-10-03,2922,Corporate,USA,New York,NY,Office Supplies,Binders,Binder Set,71,14,10,0,0,Undefined
100260,2023-10-06,2023-10-06,2270,Undefined,Canada,Unknown,Undefined,Electronics,Phones,Unknown,3801,6,5,1000,10,Undefined
100261,2022-08-20,2022-10-31,2878,Small Business,Canada,Unknown,ON,Office Supplies,Binders,Binder Set,4662,19,10,100,0,PayPal
100262,2022-11-05,2022-11-05,2784,Small Business,Canada,Unknown,Undefined,Furniture,Tables,Gaming Table,2390,3,0,-500,100,PayPal
100263,2022-02-01,2022-11-10,2921,Undefined,France,Paris,Undefined,Electronics,Phones,iPhone 14,2873,10,10,100,0,PayPal
